ensemblID	E003	E004	E005	E006	E007	E017	E021	E022	E050	E055	E056	E059	E089	E090	E094	E097	E098	E100	E109
ENSG00000117281	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000117394	27	19	23	26	24	20	13	25	0	20	18	16	21	21	17	7	16	6	9
ENSG00000117595	9	12	18	0	0	14	9	10	0	0	0	9	14	0	3	0	14	0	9
ENSG00000117707	17	12	15	8	17	6	11	12	0	5	2	5	15	18	10	12	14	10	2
ENSG00000118007	10	14	14	28	10	27	8	5	15	22	20	12	4	14	11	14	18	16	15
ENSG00000118046	13	2	20	21	9	21	12	20	19	4	7	13	11	22	17	13	22	10	14
ENSG00000118369	15	16	29	15	13	24	8	12	29	24	17	30	16	25	13	31	19	16	24
ENSG00000118402	3	5	5	3	1	12	2	2	0	10	10	3	1	8	6	9	0	3	6
ENSG00000118762	9	10	4	9	4	7	5	2	8	9	7	8	1	5	2	4	7	3	2
ENSG00000119042	14	6	9	11	7	13	14	8	0	19	12	8	13	13	4	12	7	6	3
ENSG00000119408	16	4	29	31	19	28	10	24	21	25	26	26	26	27	23	17	25	15	19
ENSG00000119574	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000119943	0	6	0	0	0	0	2	0	0	0	0	14	0	0	7	9	0	7	10
ENSG00000120071	27	22	13	26	17	27	14	24	23	25	12	20	21	26	16	20	25	25	16
ENSG00000120149	24	21	30	0	18	20	18	21	8	5	2	7	12	16	10	2	11	7	0
ENSG00000120440	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000120738	9	4	9	11	13	15	6	9	11	17	15	9	12	11	12	6	12	7	13
ENSG00000120910	28	18	35	36	28	34	23	32	22	30	20	25	35	33	23	28	33	22	25
ENSG00000121022	8	8	14	16	9	15	16	13	17	14	12	8	13	18	6	12	12	9	19
ENSG00000121053	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000121410	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
