gene	E003	E004	E005	E006	E007	E008	E017	E021	E022	E028	E029	E032	E033	E034	E046	E050	E051	E055	E056	E057	E059	E080	E081	E082	E083	E084	E085	E086	E088	E089	E090	E091	E092	E093	E094	E097	E098	E100	E109	E114	E116	E117	E118	E119	E120	E121	E122	E123	E124	E125	E126	E127	E128
ENSG00000163041	11	11	8	8	10	10	14	11	14	12	10	14	16	28	11	10	10	13	16	12	7	18	13	12	10	14	18	10	18	9	8	12	9	14	9	20	12	12	12	19	13	12	5	12	17	15	16	23	15	13	19	31	13
ENSG00000163046	1	1	1	1	1	1	0	3	2	1	0	0	1	1	1	1	1	1	1	0	1	1	1	1	2	0	1	1	1	1	1	1	1	2	1	2	1	1	1	1	2	1	0	0	1	1	1	1	1	1	1	1	1
ENSG00000163053	11	4	1	6	5	4	4	9	10	5	3	4	5	8	5	5	8	9	13	4	5	10	7	5	8	7	3	7	9	7	8	4	2	2	4	10	5	2	5	10	2	2	7	5	4	7	7	1	3	6	3	5	7
ENSG00000163060	14	5	1	0	12	10	1	9	13	3	8	0	1	2	2	7	7	0	2	4	4	3	1	2	4	0	0	8	9	0	0	3	4	3	3	0	7	0	2	10	2	0	8	2	2	3	2	2	1	0	2	2	1
ENSG00000163064	51	25	11	2	72	34	3	54	48	4	6	24	3	6	7	17	16	19	14	9	8	3	12	18	16	5	2	18	12	33	37	7	17	5	1	2	4	12	4	3	2	1	6	3	20	29	2	2	2	19	24	4	19
ENSG00000163067	6	7	3	3	4	4	6	5	5	5	6	4	4	10	3	4	4	6	5	4	5	10	6	5	6	5	6	6	6	5	7	7	6	4	3	6	6	6	6	10	3	1	3	3	4	7	3	7	4	5	4	3	4
ENSG00000163069	11	5	2	12	8	3	7	8	6	7	4	8	7	2	2	7	5	12	14	8	8	10	9	13	11	11	10	7	14	13	10	5	7	4	9	10	5	7	13	5	6	3	9	8	6	9	7	1	8	7	14	4	9
ENSG00000163071	10	6	1	11	6	3	4	6	6	7	5	7	6	1	1	6	4	13	12	6	5	8	10	11	10	5	5	6	14	13	10	4	6	3	5	10	5	7	9	3	5	1	7	7	5	6	7	0	6	6	12	3	8
ENSG00000163072	6	9	6	9	0	3	5	10	8	3	0	0	0	0	0	2	4	6	4	3	3	25	8	2	21	19	13	10	17	8	9	11	14	2	12	9	9	4	13	9	2	3	2	4	3	3	10	28	0	6	6	4	8
ENSG00000163075	5	12	3	2	4	3	1	8	9	2	2	1	1	0	1	5	6	2	3	3	2	11	4	4	6	22	19	11	14	1	2	6	8	2	6	2	15	3	17	3	1	0	4	3	4	1	1	5	1	6	5	1	5
ENSG00000163081	41	32	3	6	75	36	1	42	41	1	8	8	1	6	0	27	22	24	15	5	31	3	15	45	34	3	2	18	25	28	34	1	37	4	1	3	2	8	7	3	4	1	6	2	7	13	2	2	21	19	15	1	20
ENSG00000163082	8	6	4	2	6	8	1	7	9	5	11	5	4	12	2	9	7	3	1	5	4	8	6	7	9	20	11	16	15	1	1	6	24	2	9	4	6	2	31	5	13	0	2	6	2	2	1	0	5	3	2	2	3
ENSG00000163083	16	2	0	3	21	9	5	21	17	3	3	4	3	4	2	12	10	14	11	3	5	10	19	8	7	1	1	17	11	10	13	6	16	6	2	8	5	24	1	13	0	0	10	6	7	14	5	1	11	3	14	3	3
ENSG00000163092	3	3	1	3	2	4	7	4	4	3	0	0	0	0	0	4	6	11	9	5	2	4	8	8	14	2	0	3	7	10	6	0	2	3	4	3	7	13	0	0	0	0	1	8	9	9	2	0	1	9	11	2	8
ENSG00000163093	2	4	2	4	3	1	5	1	4	3	0	2	1	6	4	8	2	7	6	3	6	4	2	2	1	8	4	5	3	5	5	4	5	7	1	5	4	10	5	3	1	2	6	2	7	3	5	8	1	4	7	2	5
ENSG00000163098	5	7	3	0	3	4	3	14	9	2	0	1	1	1	1	4	4	2	1	2	0	1	1	1	1	0	1	3	4	5	4	4	1	2	0	2	0	1	0	3	0	0	1	1	0	1	1	0	0	3	3	0	1
ENSG00000163104	2	2	2	3	1	1	1	1	3	1	1	1	1	8	4	2	2	2	1	4	4	3	2	4	7	4	2	3	3	3	2	2	4	1	1	1	1	1	2	4	1	1	1	1	2	3	3	3	2	1	2	5	1
ENSG00000163106	4	4	0	1	1	2	2	3	5	1	5	0	1	1	0	17	16	1	4	2	0	2	3	2	5	3	2	1	2	20	19	6	1	5	0	0	2	1	2	3	2	0	0	0	6	4	6	12	5	1	2	1	2
ENSG00000163110	7	9	5	14	6	3	10	8	7	16	7	7	4	5	5	6	7	17	13	18	12	20	6	7	33	22	20	7	10	13	19	9	12	3	10	12	12	19	18	23	8	20	16	24	17	15	15	15	6	14	14	29	15
ENSG00000163113	5	8	8	5	4	4	7	7	6	7	7	13	4	9	4	6	4	10	8	9	9	12	5	10	6	9	12	8	9	7	4	15	9	8	11	7	11	11	14	9	4	5	6	4	15	8	6	13	6	9	7	7	9
